Asset ID,Asset Name,Item,CVE ID
402,DESKTOP-5NATTOG,200,CVE-2026-10949
402,DESKTOP-5NATTOG,201,CVE-2026-10971
402,DESKTOP-5NATTOG,202,CVE-2026-9881
402,DESKTOP-5NATTOG,203,CVE-2026-11687
402,DESKTOP-5NATTOG,204,CVE-2026-9995
402,DESKTOP-5NATTOG,205,CVE-2026-11169
402,DESKTOP-5NATTOG,206,CVE-2026-9925
402,DESKTOP-5NATTOG,207,CVE-2026-10017
402,DESKTOP-5NATTOG,208,CVE-2026-11043
402,DESKTOP-5NATTOG,209,CVE-2026-10924
402,DESKTOP-5NATTOG,210,CVE-2026-11250
402,DESKTOP-5NATTOG,211,CVE-2026-10987
402,DESKTOP-5NATTOG,212,CVE-2026-9905
402,DESKTOP-5NATTOG,213,CVE-2026-11171
402,DESKTOP-5NATTOG,214,CVE-2026-9119
402,DESKTOP-5NATTOG,215,CVE-2026-11153
402,DESKTOP-5NATTOG,216,CVE-2026-11047
402,DESKTOP-5NATTOG,217,CVE-2026-11070
402,DESKTOP-5NATTOG,218,CVE-2026-10952
402,DESKTOP-5NATTOG,219,CVE-2026-10882
402,DESKTOP-5NATTOG,220,CVE-2026-11100
402,DESKTOP-5NATTOG,221,CVE-2026-11151
402,DESKTOP-5NATTOG,222,CVE-2026-10926
402,DESKTOP-5NATTOG,223,CVE-2026-10943
402,DESKTOP-5NATTOG,224,CVE-2026-9126
402,DESKTOP-5NATTOG,225,CVE-2026-11688
402,DESKTOP-5NATTOG,226,CVE-2026-9933
402,DESKTOP-5NATTOG,227,CVE-2026-11056
402,DESKTOP-5NATTOG,228,CVE-2026-11124
402,DESKTOP-5NATTOG,229,CVE-2026-9891
402,DESKTOP-5NATTOG,230,CVE-2026-11670
402,DESKTOP-5NATTOG,231,CVE-2026-11185
402,DESKTOP-5NATTOG,232,CVE-2026-10936
402,DESKTOP-5NATTOG,233,CVE-2026-9885
402,DESKTOP-5NATTOG,234,CVE-2026-9872
402,DESKTOP-5NATTOG,235,CVE-2026-9936
402,DESKTOP-5NATTOG,236,CVE-2026-11071
402,DESKTOP-5NATTOG,237,CVE-2026-9941
402,DESKTOP-5NATTOG,238,CVE-2026-11042
402,DESKTOP-5NATTOG,239,CVE-2026-9968
402,DESKTOP-5NATTOG,240,CVE-2026-11303
402,DESKTOP-5NATTOG,241,CVE-2026-9948
402,DESKTOP-5NATTOG,242,CVE-2026-9886
402,DESKTOP-5NATTOG,243,CVE-2026-11652
402,DESKTOP-5NATTOG,244,CVE-2026-9982
402,DESKTOP-5NATTOG,245,CVE-2026-9894
402,DESKTOP-5NATTOG,246,CVE-2026-11114
402,DESKTOP-5NATTOG,247,CVE-2026-11213
402,DESKTOP-5NATTOG,248,CVE-2026-9877
402,DESKTOP-5NATTOG,249,CVE-2026-10908
402,DESKTOP-5NATTOG,250,CVE-2026-11644
402,DESKTOP-5NATTOG,251,CVE-2026-10988
402,DESKTOP-5NATTOG,252,CVE-2026-10881
402,DESKTOP-5NATTOG,253,CVE-2026-11645
402,DESKTOP-5NATTOG,254,CVE-2026-11198
402,DESKTOP-5NATTOG,255,CVE-2026-10013
402,DESKTOP-5NATTOG,256,CVE-2026-10007
402,DESKTOP-5NATTOG,257,CVE-2026-11012
402,DESKTOP-5NATTOG,258,CVE-2026-10972
402,DESKTOP-5NATTOG,259,CVE-2026-10016
402,DESKTOP-5NATTOG,260,CVE-2026-11146
402,DESKTOP-5NATTOG,261,CVE-2026-10963
402,DESKTOP-5NATTOG,262,CVE-2026-10978
402,DESKTOP-5NATTOG,263,CVE-2026-10892
402,DESKTOP-5NATTOG,264,CVE-2026-11158
402,DESKTOP-5NATTOG,265,CVE-2026-11152
402,DESKTOP-5NATTOG,266,CVE-2026-11041
402,DESKTOP-5NATTOG,267,CVE-2026-10954
402,DESKTOP-5NATTOG,268,CVE-2026-9118
402,DESKTOP-5NATTOG,269,CVE-2026-11697
402,DESKTOP-5NATTOG,270,CVE-2026-10885
402,DESKTOP-5NATTOG,271,CVE-2026-10947
402,DESKTOP-5NATTOG,272,CVE-2026-11654
402,DESKTOP-5NATTOG,273,CVE-2026-11699
402,DESKTOP-5NATTOG,274,CVE-2026-11113
402,DESKTOP-5NATTOG,275,CVE-2026-11149
402,DESKTOP-5NATTOG,276,CVE-2026-11147
402,DESKTOP-5NATTOG,277,CVE-2026-11256
402,DESKTOP-5NATTOG,278,CVE-2026-9918
402,DESKTOP-5NATTOG,279,CVE-2026-11021
402,DESKTOP-5NATTOG,280,CVE-2026-11077
402,DESKTOP-5NATTOG,281,CVE-2026-11632
402,DESKTOP-5NATTOG,282,CVE-2026-10946
402,DESKTOP-5NATTOG,283,CVE-2026-9993
402,DESKTOP-5NATTOG,284,CVE-2026-10893
402,DESKTOP-5NATTOG,285,CVE-2026-11058
402,DESKTOP-5NATTOG,286,CVE-2026-10922
402,DESKTOP-5NATTOG,287,CVE-2026-11236
402,DESKTOP-5NATTOG,288,CVE-2026-10948
402,DESKTOP-5NATTOG,289,CVE-2026-10957
402,DESKTOP-5NATTOG,290,CVE-2026-9120
402,DESKTOP-5NATTOG,291,CVE-2026-11125
402,DESKTOP-5NATTOG,292,CVE-2026-10919
402,DESKTOP-5NATTOG,293,CVE-2026-9900
402,DESKTOP-5NATTOG,294,CVE-2026-10989
402,DESKTOP-5NATTOG,295,CVE-2026-11242
402,DESKTOP-5NATTOG,296,CVE-2026-10890
402,DESKTOP-5NATTOG,297,CVE-2026-11120
402,DESKTOP-5NATTOG,298,CVE-2026-10899
402,DESKTOP-5NATTOG,299,CVE-2026-9934
402,DESKTOP-5NATTOG,300,CVE-2026-11170
402,DESKTOP-5NATTOG,301,CVE-2026-11642
402,DESKTOP-5NATTOG,302,CVE-2026-11046
402,DESKTOP-5NATTOG,303,CVE-2026-9879
402,DESKTOP-5NATTOG,304,CVE-2026-9963
402,DESKTOP-5NATTOG,305,CVE-2026-11172
402,DESKTOP-5NATTOG,306,CVE-2026-11305
402,DESKTOP-5NATTOG,307,CVE-2026-11296
402,DESKTOP-5NATTOG,308,CVE-2026-9874
402,DESKTOP-5NATTOG,309,CVE-2026-11063
402,DESKTOP-5NATTOG,310,CVE-2026-9998
402,DESKTOP-5NATTOG,311,CVE-2026-11639
402,DESKTOP-5NATTOG,312,CVE-2026-9876
402,DESKTOP-5NATTOG,313,CVE-2026-10990
402,DESKTOP-5NATTOG,314,CVE-2026-10021
402,DESKTOP-5NATTOG,315,CVE-2026-9984
402,DESKTOP-5NATTOG,316,CVE-2026-11679
402,DESKTOP-5NATTOG,317,CVE-2026-11080
402,DESKTOP-5NATTOG,318,CVE-2026-9114
402,DESKTOP-5NATTOG,319,CVE-2026-10934
402,DESKTOP-5NATTOG,320,CVE-2026-11010
402,DESKTOP-5NATTOG,321,CVE-2026-9923
