id,name,ipv4,ipv6,mac,os,model,vendor,firmware
163,fe80::250:56ff:fe8d:9179,None,fe80::250:56ff:fe8d:9179,00:50:56:8D:91:79,None,None,VMware,None
167,FOXW03,None,None,00:00:6C:04:55:41,None,None,Foxboro,None
168,10.1.34.13,10.1.34.13,None,00:80:A3:B3:54:9D,None,None,Lantronix,None
169,fe80::250:56ff:fe8d:183e,None,fe80::250:56ff:fe8d:183e,00:50:56:8D:18:3E,None,None,VMware,None
171,10.1.33.1,10.1.33.1,None,00:00:23:1F:9E:54,None,None,ABB,5.1.1300.11
172,WCP102,None,None,00:00:6C:C0:00:0E,None,None,Foxboro,None
175,10.1.0.1,10.1.0.1,None,A8:9D:21:14:20:C3,None,None,Cisco,None
179,10.1.34.2,"10.1.34.2, 10.1.34.224",None,00:80:F4:14:00:2B,None,None,Schneider Electric,None
180,WIN-HBMSV1QLKEN,10.1.52.3,fe80::5402:4641:428e:53a,00:50:56:B8:BC:80,None,None,VMware,None
181,10.1.52.1,10.1.52.1,None,00:E0:46:00:C1:55,None,None,Bently Nevada,None
184,EXPDEV1,10.1.1.51,None,00:50:56:8D:18:43,Windows Server 2003,None,VMware,None
186,10.1.7.11,10.1.7.11,None,"00:40:84:0B:04:9C, 00:40:84:0B:04:9D",None,None,Honeywell,None
190,fe80::250:56ff:fe8d:1704,None,fe80::250:56ff:fe8d:1704,00:50:56:8D:17:04,None,None,VMware,None
193,fe80::250:56ff:feb8:3fc7,None,fe80::250:56ff:feb8:3fc7,00:50:56:B8:3F:C7,None,None,VMware,None
194,10.1.31.1,10.1.31.1,None,28:63:36:26:F0:74,None,None,Siemens,None
196,10.1.34.1,10.1.34.1,None,00:80:F4:12:8B:10,None,None,Schneider Electric,None
197,10.1.34.91,10.1.34.91,None,00:50:56:B8:A5:EC,None,None,VMware,None
201,10.1.31.12,10.1.31.12,None,00:50:56:8D:DF:B8,None,None,VMware,None
202,10.1.45.1,10.1.45.1,None,00:30:A7:02:FE:1D,None,None,Schweitzer Engineering Laboratories,None
203,fe80::250:56ff:feb8:e499,None,fe80::250:56ff:feb8:e499,00:50:56:B8:E4:99,None,None,VMware,None
208,Windows7,10.1.34.50,fe80::a453:b8ed:296c:6992,00:50:56:B8:93:F7,None,None,VMware,None
211,10.10.6.204,10.10.6.204,None,None,None,None,None,None
212,10.10.6.86,10.10.6.86,None,None,None,None,None,None
213,10.1.31.14,10.1.31.14,None,None,None,None,None,None
214,Central-Archer-Michal,None,fe80::250:56ff:feb8:1c7d,00:50:56:B8:1C:7D,None,None,VMware,None
215,10.10.6.90,10.10.6.90,None,None,None,None,None,None
217,fe80::250:56ff:fe8d:b68b,None,fe80::250:56ff:fe8d:b68b,00:50:56:8D:B6:8B,None,None,VMware,None
219,fe80::250:56ff:feb8:e719,None,fe80::250:56ff:feb8:e719,00:50:56:B8:E7:19,None,None,VMware,None
220,fe80::250:56ff:feb8:b8b1,None,fe80::250:56ff:feb8:b8b1,00:50:56:B8:B8:B1,None,None,VMware,None
221,fe80::250:56ff:feb8:e01f,None,fe80::250:56ff:feb8:e01f,00:50:56:B8:E0:1F,None,None,VMware,None
224,10.10.6.120,10.10.6.120,None,None,None,None,None,None
225,10.10.6.224,10.10.6.224,None,None,None,None,None,None
229,00:1D:9C:D0:08:D1,None,None,00:1D:9C:D0:08:D1,None,None,Rockwell Automation,None
231,UNTITLED,10.1.30.3,None,F4:54:33:92:89:96,None,1747-L553/C C/13 - DC 3.54,Rockwell Automation,V3.013
232,10.1.31.15,10.1.31.15,None,00:50:56:8D:27:66,None,None,VMware,None
236,10.1.30.10,10.1.30.10,None,00:50:56:B9:E2:AD,None,None,VMware,None
237,10.1.30.4,10.1.30.4,None,E4:90:69:A7:70:0F,None,1794-AENT/B,Rockwell Automation,V4.003
238,10.1.30.5,10.1.30.5,None,00:00:BC:03:44:C0,None,PLC-5/40 E/K - 1785-ENET 2.50,Rockwell Automation,V2.004
239,10.1.30.6,10.1.30.6,None,00:1D:9C:A1:60:4E,None,1763-L16BWA B/14.00,Rockwell Automation,V2.014
240,10.1.30.8,10.1.30.8,None,F4:54:33:51:5C:69,None,PanelView Plus_7 Standard 700,Rockwell Automation,V7.150
242,ENG_STATION_02,10.1.38.2,None,00:50:56:B9:37:D9,Windows Server 2008 R2,None,VMware,None
243,10.1.31.16,10.1.31.16,None,08:00:06:93:8C:DA,None,None,Siemens,None
244,PXG3-L-00A00309D614,None,None,00:A0:03:09:D6:14,None,None,Siemens,None
246,ENG_SEL,10.1.45.2,None,00:50:56:B8:B1:2F,Windows Server 2008 R2,None,VMware,None
248,10.10.6.211,10.10.6.211,None,None,None,None,None,None
249,10.1.31.17,10.1.31.17,None,08:00:06:93:8C:B7,None,None,Siemens,None
250,LKPO-652D3259FB,10.1.31.13,None,00:50:56:8D:E9:71,Windows XP,None,VMware,None
252,SCADA-SERVER,10.1.34.9,None,00:50:56:8D:3E:8C,Windows Server 2008 R2,None,VMware,None
254,10.10.6.77,10.10.6.77,None,None,None,None,None,None
257,800CONNECTSRVR,"10.1.33.3, 172.16.0.123",None,00:50:56:8D:B3:D6,Windows Server 2008 R2,None,VMware,None
262,LKPO-ROOT,"10.1.30.254, 10.1.31.254, 10.1.32.254, 10.1.33.254, 10.1.34.254, 10.1.35.254, 10.1.36.254, 10.1.39.254, 10.1.254.254",None,4C:5E:0C:9A:16:06,None,CRS125-24G-1S,MikroTik,6.12
263,10.1.37.254,10.1.37.254,None,None,None,None,None,None
264,10.1.38.254,10.1.38.254,None,None,None,None,None,None
265,10.1.40.254,10.1.40.254,None,None,None,None,None,None
266,10.1.41.254,10.1.41.254,None,None,None,None,None,None
267,10.1.42.254,10.1.42.254,None,None,None,None,None,None
268,10.1.43.254,10.1.43.254,None,None,None,None,None,None
269,10.1.44.254,10.1.44.254,None,None,None,None,None,None
270,10.1.45.254,10.1.45.254,None,None,None,None,None,None
271,10.1.46.254,10.1.46.254,None,None,None,None,None,None
272,10.1.47.254,10.1.47.254,None,None,None,None,None,None
273,10.1.48.254,10.1.48.254,None,None,None,None,None,None
274,10.1.49.254,10.1.49.254,None,None,None,None,None,None
275,10.1.30.1:Card 3 \ 192.168.1.13,None,None,None,None,1783-ETAP/A,Rockwell Automation,V2.002
276,10.1.30.1:Card 3 \ 192.168.1.14,None,None,None,None,1783-ETAP/A,Rockwell Automation,V2.002
277,10.1.30.1:Card 2 \ Addr 1,None,None,None,None,1734-ACNR I/O Adapter,Rockwell Automation,V1.084
278,10.1.30.1:Card 2 \ Addr 2,None,None,None,None,1794-ACNR15/C I/O Adapter,Rockwell Automation,V4.001
283,10.0.0.254,10.0.0.254,None,None,None,None,None,None
285,fe80::250:56ff:feb8:85b0,None,fe80::250:56ff:feb8:85b0,00:50:56:B8:85:B0,None,None,VMware,None
293,fe80::4c3d:1e8e:cb3a:4025,None,fe80::4c3d:1e8e:cb3a:4025,00:50:56:B8:24:E5,None,None,VMware,None
